月ノ美兎,,,10,名詞,固有名詞,人名,一般,*,*,月ノ美兎,ツキノミト,ツキノミト
ウェザーロイド,,,10,名詞,固有名詞,人名,一般,*,*,ウェザーロイド,ウェザーロイド,ウェザーロイド
キズナアイ,,,10,名詞,固有名詞,人名,一般,*,*,キズナアイ,キズナアイ,キズナアイ
せんせえ,,,10,名詞,一般,*,*,*,*,せんせい,センセエ,センセエ
|ૂ•ᴗ•⸝⸝),,,10,記号,一般,*,*,*,*,|ૂ•ᴗ•⸝⸝),カオモジ,カオモジ
( •̀ .̫ •́ )✧,,,10,記号,一般,*,*,*,*,( •̀ .̫ •́ )✧,カオモジ,カオモジ
エイレーン,,,10,名詞,固有名詞,人名,一般,*,*,エイレーン,エイレーン,エイレーン
ときのそら,,,10,名詞,固有名詞,人名,一般,*,*,ときのそら,トキノソラ,トキノソラ
┌(┌^o^)┐,,,10,記号,一般,*,*,*,*,┌(┌^o^)┐,カオモジ,カオモジ
めめめ,,,10,名詞,固有名詞,人名,名,*,*,めめめ,トキノソラ,メメメ
.live,,,10,名詞,固有名詞,組織,*,*,*,.live,ドットライブ,ドットライブ
upd8,,,10,名詞,固有名詞,組織,*,*,*,upd8,アップデート,アップデート
(^・ω・^§)ﾉ,,,10,記号,一般,*,*,*,*,(^・ω・^§)ﾉ,カオモジ,カオモジ